Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-027	B	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3773.24	135	4/4	EXCE-056	audio/STIM-027.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-027.png	2724.22623	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-028	B	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3564.26	135	4/4	EXCE-056	audio/STIM-028.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-028.png	2172.898443	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-029	B	Clean	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3831.29	110	4/4	EXCE-108	audio/STIM-029.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-029.png	1984.382375	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-030	B	Clean_FLAT	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3645.53	110	4/4	EXCE-108	audio/STIM-030.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-030.png	2097.442168	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-031	B	Clean	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3750.02	110	4/4	EXCE-124	audio/STIM-031.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-031.png	2668.706718	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-032	B	Clean_FLAT	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3599.09	110	4/4	EXCE-124	audio/STIM-032.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-032.png	2394.924632	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-033	B	Screaming_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3297.23	161	4/4	EXCE-064	audio/STIM-033.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-033.png	2815.360374	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-034	B	Screaming_V	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	2914.1	161	4/4	EXCE-064	audio/STIM-034.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-034.png	2935.503122	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-035	B	Screaming_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2972.15	180	4/4	EXCE-155	audio/STIM-035.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-035.png	2601.994315	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-036	B	Screaming_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	3146.3	180	4/4	EXCE-155	audio/STIM-036.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-036.png	2653.581443	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-037	B	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4493.06	140	4/4	EXCE-179	audio/STIM-037.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-037.png	2495.741078	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-038	B	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4829.75	140	4/4	EXCE-179	audio/STIM-038.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-038.png	2507.910061	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-039	B	Screaming_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2043.36	115	4/4	EXCE-087	audio/STIM-039.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-039.png	3105.944696	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-040	B	Screaming_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2008.53	115	4/4	EXCE-087	audio/STIM-040.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-040.png	2982.200494	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-041	B	Growling_NV	Whitechapel	The Night Remains	"""Rid yourself and never return"""	2774.78	155	4/4	EXCE-141	audio/STIM-041.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-041.png	2440.108739	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-042	B	Growling_V	Whitechapel	The Night Remains	"""Rid yourself and never return"""	3215.96	155	4/4	EXCE-141	audio/STIM-042.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-042.png	2939.466714	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
