Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Lyrics	Spotify_URL	MP3_Path	Date_collected	
EXCE-033	Growling	Incantation	Primordial Domination	6	Lead to Desolation	2006	16566	3	3:50	1:03-1:10	"""The son of man"""	https://open.spotify.com/track/40CHJhLXBZtqhhFWsl18g2?si=77800c0805ee4d55	excerpts_audio/EXCE-033.mp3	16/3/2025	
EXCE-034	Growling	Incantation	Vanquish in Vengeance	8	From Hollow Sands	2012	17989	3	3:08	2:06-2:09	"""We are your disease"""	https://open.spotify.com/track/3aiA8G6EjsUg9PkjPTVqAC?si=1473b9b1bb774df2	excerpts_audio/EXCE-034.mp3	16/3/2025	
EXCE-035	Growling	Incantation	Vanquish in Vengeance	8	Haruspex	2012	24857	4	3:56	1:17-1:23	"""the fleshy confines of humanity"""	https://open.spotify.com/track/1f9NE24Wg5Betmu2qyYPvr?si=e0692c6ed52f4c28	excerpts_audio/EXCE-035.mp3	16/3/2025	
EXCE-036	Growling	Incantation	Vanquish in Vengeance	8	Profound Loathing	2012	22304	4	8:01	6:33-6:37	"""A terroristic holocaust"""	https://open.spotify.com/track/3CVcwfrKugrL5NPsuTPZiW?si=21c2e2df30a047e1	excerpts_audio/EXCE-036.mp3	16/3/2025	
EXCE-037	Growling	Morbid Angel	Abominations of Desolation	17	Abominations	1991	63524	10	4:19	2:51-2:54	"""Bow down before the master"""	https://open.spotify.com/track/6ZsmeNVxrow8hWlU5m4t0H?si=0ce19b5a80974ea7	excerpts_audio/EXCE-037.mp3	16/3/2025	
EXCE-038	Growling	Morbid Angel	Abominations of Desolation	17	The Gate / Lord of All Fevers	1991	77074	11	5:54	1:51-1:53	"""Praise the ripping sky"""	https://open.spotify.com/track/4n8Tm8EXXzfMsxGYUrdBvG?si=9d03edb5f2a245c5	excerpts_audio/EXCE-038.mp3	16/3/2025	
EXCE-039	Growling	Morbid Angel	Abominations of Desolation	17	Hell Spawn	1991	76662	11	2:32	2:10-2:13	"""I am the Hell spawn"""	https://open.spotify.com/track/0YbHQbAn6clvLbPH1HRcFM?si=b565822d68f84678	excerpts_audio/EXCE-039.mp3	16/3/2025	
EXCE-040	Growling	Morbid Angel	Heretic	24	Stricken Arise	2003	150308	15	4:10	3:53-3:57	"""Thriving in their Hate"""	https://open.spotify.com/track/3e6Y5sobRRDlwLPggy76mV?si=1be194f24b1f4788	excerpts_audio/EXCE-040.mp3	16/3/2025	
EXCE-041	Growling	Morbid Angel	Heretic	24	Within Thy Enemy	2003	90190	12	3:17	1:05-1:09	"""From within this seething comes"""	https://open.spotify.com/track/1E7clOgN5A82cGYXvubajR?si=24e1d2b0e15b4a4d	excerpts_audio/EXCE-041.mp3	16/3/2025	
EXCE-042	Growling	Morbid Angel	Heretic	24	God Of Our Own Divinity	2003	112616	13	6:21	4:43-4:46	"""Break apart thiss rusty chains"""	https://open.spotify.com/track/5LJ0OlmgSIXNVyMQTeij3f?si=986765c9384d46d0	excerpts_audio/EXCE-042.mp3	16/3/2025	
EXCE-043	Growling	Morbid Angel	Kingdoms Disdained	25	From the Hand of Kings	2017	216890	14	4:02	3:05-3:10	"""Empires and nations fall"""	https://open.spotify.com/track/1Nsh8M0Pck7u4Y3mAwRbjk?si=46693f6caf1149b3	excerpts_audio/EXCE-043.mp3	16/3/2025	
EXCE-044	Growling	Morbid Angel	Kingdoms Disdained	25	The Fall of Idols	2017	201836	14	4:48	2:46-2:49	"""You swore to be the shelter"""	https://open.spotify.com/track/7pOfkJuCyoPabkVEk76Gdv?si=008bf6e70b6c439b	excerpts_audio/EXCE-044.mp3	16/3/2025	
EXCE-045	Growling	Morbid Angel	Kingdoms Disdained	25	For No Master	2017	266232	15	3:28	3:03-3:07	"""No prayer will yield our cleansing"""	https://open.spotify.com/track/2tJpi9hWvUaia3S2xlalcX?si=f1adf1daaa90451e	excerpts_audio/EXCE-045.mp3	16/3/2025	
EXCE-046	Screaming	Suicide Silence	Suicide Silence	24	Don't Be Careful You Might Hurt Yourself	2017	370166	13	4:20	2:37-2:41	"""Let time stand still"""	https://open.spotify.com/track/0pik84o7400PdotrJxzFbT?si=68ddbd4516c74b2b	excerpts_audio/EXCE-046.mp3	16/3/2025	
EXCE-047	Screaming	Suicide Silence	Suicide Silence	24	Run	2017	387317	14	4:25	3:41-3:46	"""Don't fucking run"""	https://open.spotify.com/track/6J2Yi426GriycUxtOzz0GW?si=9366256b682f42d9	excerpts_audio/EXCE-047.mp3	16/3/2025	
