Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Rhythm	Melody	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	annotations	Age_at_recording
VOX-082	K	Screaming_V	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-082.wav	Geoffrey Uhal	20250529				
VOX-083	K	Growling_NV	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-083.wav	Geoffrey Uhal	20250529				
VOX-084	K	Growling_V	Northlane	Weightless	"""Guided by familiar sight"""				85	4/4	EXCE-177	audio/VOX-084.wav	Geoffrey Uhal	20250529				
VOX-085	K	Clean	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-085.wav	Geoffrey Uhal	20250529				
VOX-086	K	Clean_FLAT	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-086.wav	Geoffrey Uhal	20250529				
VOX-087	K	Screaming_NV	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-087.wav	Geoffrey Uhal	20250529				
VOX-088	K	Screaming_V	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-088.wav	Geoffrey Uhal	20250529				
VOX-089	K	Growling_NV	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-089.wav	Geoffrey Uhal	20250529				
VOX-090	K	Growling_V	Asking Alexandria	Empire	"""to just give up now I'm pushing on through"""				80	4/4	EXCE-109	audio/VOX-090.wav	Geoffrey Uhal	20250529				
VOX-091	K	Clean	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-091.wav	Geoffrey Uhal	20250529				
VOX-092	K	Clean_FLAT	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-092.wav	Geoffrey Uhal	20250529				
VOX-093	K	Screaming_NV	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-093.wav	Geoffrey Uhal	20250529				
VOX-094	K	Screaming_V	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-094.wav	Geoffrey Uhal	20250529				
VOX-095	K	Growling_NV	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-095.wav	Geoffrey Uhal	20250529				
VOX-096	K	Growling_V	Asking Alexandria	I am One	"""I can't be left if I'm alone """				162	4/4	EXCE-110	audio/VOX-096.wav	Geoffrey Uhal	20250529				
VOX-097	K	Clean	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-097.wav	Geoffrey Uhal	20250529				
VOX-098	K	Clean_FLAT	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-098.wav	Geoffrey Uhal	20250529				
VOX-099	K	Screaming_NV	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-099.wav	Geoffrey Uhal	20250529				
VOX-100	K	Screaming_V	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-100.wav	Geoffrey Uhal	20250529				
VOX-101	K	Growling_NV	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-101.wav	Geoffrey Uhal	20250529				
