Excerpt_ID	Technique	Artist	Album	Song	Spectral_Centroid	Duration_ms
EXCE-092	Clean	Trivium	Ember to Inferno: Ab Initio	Fugue - Caeruleus	3863.6074921554505	4526.71
EXCE-093	Clean	Trivium	Ember to Inferno: Ab Initio	The Deceived - Flavus	3357.3512229096996	6342.18
EXCE-094	Clean	Trivium	In Waves	Of All These Yesterdays	3052.7163584580667	3467.39
EXCE-095	Clean	Trivium	In Waves	Forsake Not the Dream	3005.9227476980454	4254.13
EXCE-096	Clean	Trivium	In Waves	Caustic Are the Ties That Bind	3455.4146406451837	3531.61
EXCE-097	Clean	Trivium	Shogun	He Who Spawned the Furies	3124.9521300899673	3924.35
EXCE-098	Clean	Trivium	Shogun	The Calamity	3483.956118826114	6066.44
EXCE-099	Clean	Trivium	Shogun	Of Prometheus and the Crucifix	3470.7977672891443	2979.48
EXCE-100	Clean	Killswitch Engage	Disarm the Descent	The Call	3445.8789137221697	4115.22
EXCE-101	Clean	Killswitch Engage	Disarm the Descent	All We Have	3318.3082008899305	3867.23
EXCE-102	Screaming	Killswitch Engage	Disarm the Descent	Time Will Not Remain	2829.7009813184245	3029.61
EXCE-103	Clean	Killswitch Engage	The End of Heartache	Hope Is...	2845.8702670960056	4742.95
EXCE-104	Clean	Killswitch Engage	The End of Heartache	Wasted Sacrifice	3361.3014082459968	3654.06
EXCE-105	Clean	Killswitch Engage	The End of Heartache	World Ablaze	3006.3806810638316	4217.14
EXCE-106	Clean	Killswitch Engage	As Daylight Dies	Desperate Times	2624.4666411539715	4794.44
EXCE-107	Clean	Killswitch Engage	As Daylight Dies	For You	2848.234472260374	4187.85
EXCE-108	Clean	Killswitch Engage	As Daylight Dies	Still Beats Your Name	2733.2672171975873	4396.03
EXCE-109	Clean	Asking Alexandria	Asking Alexandria	Empire	3314.0499809222815	3491.97
EXCE-110	Clean	Asking Alexandria	Asking Alexandria	I am One	3176.1657165674646	2848.03
EXCE-111	Clean	Asking Alexandria	Asking Alexandria	Room 138	3105.930251923767	3142.29
EXCE-112	Clean	Asking Alexandria	See What?s On The Inside	Fame	3451.789109491229	3719.48
EXCE-113	Clean	Asking Alexandria	See What?s On The Inside	The Grey	3299.8839986972157	1956.69
EXCE-114	Clean	Asking Alexandria	See What?s On The Inside	Misery Loves Company	3488.639935531808	3834.72
EXCE-115	Clean	Asking Alexandria	Where Do We Go From Here?	Feel	4008.3373326472934	5099.09
EXCE-116	Clean	Asking Alexandria	Where Do We Go From Here?	Holding On To Something More	3589.808329351026	3674.54
EXCE-117	Clean	Asking Alexandria	Where Do We Go From Here?	Let The Dead Take Me	3817.6662888477545	2691.32
EXCE-118	Clean	Metallica	St. Anger	My World	2404.528285568783	4686.78
EXCE-119	Clean	Metallica	St. Anger	Purify	2404.641041890414	4301.52
EXCE-120	Clean	Metallica	St. Anger	All Within My Hands	2969.8124133492975	2468.75
EXCE-121	Clean	Metallica	Hardwired?To Self-Destruct	ManUNkind	4018.201210348084	4663.33
EXCE-122	Clean	Metallica	Hardwired?To Self-Destruct	ManUNkind	4126.005100416531	4766.17
EXCE-123	Clean	Metallica	Hardwired?To Self-Destruct	Murder One	3848.580543009986	4402.56
EXCE-124	Clean	Metallica	72 Seasons	Crown of Barbed Wire	4438.797353294156	4298.59
EXCE-125	Clean	Metallica	72 Seasons	Chasing Light	4910.330273456534	2973.49
EXCE-126	Clean	Metallica	72 Seasons	Room of Mirrors	4829.4741230516165	2411.09
EXCE-127	Clean	Protest the Hero	Volition	Animal Bones	3349.020971403237	4280.16
EXCE-128	Clean	Protest the Hero	Volition	A Life Embossed	2741.692083329613	3625.26
EXCE-129	Clean	Protest the Hero	Volition	Underbite	3448.204450907041	3281.54
EXCE-130	Clean	Protest the Hero	Scurrilous	Termites	3461.0794158055464	4671.04
EXCE-131	Clean	Protest the Hero	Scurrilous	Tapestry	3160.196080070618	3416.87
EXCE-132	Clean	Protest the Hero	Scurrilous	The Reign of Unending Terror	3530.280993690663	2692.43
EXCE-133	Clean	Protest the Hero	Palimpsest	Rivet	3322.5243966462313	3661.38
EXCE-134	Clean	Protest the Hero	Palimpsest	Gardenias	3127.6673817317646	4148.37
EXCE-135	Clean	Protest the Hero	Palimpsest	Reverie	3338.72816924792	1818.0
EXCE-136	Growling	Whitechapel	A New Era Of Corruption	A Future Corrupt	2976.5828892860304	5044.2
EXCE-137	Growling	Whitechapel	A New Era Of Corruption	Single File to Dehumanization	2809.9465346625357	4245.01
EXCE-138	Growling	Whitechapel	A New Era Of Corruption	Prayer of Mockery	2947.0301314010985	3148.1
EXCE-139	Growling	Whitechapel	Whitechapel	Faces	3244.8779566026833	2819.27
EXCE-140	Growling	Whitechapel	Whitechapel	Dead Silence	3133.8342519188627	2070.7
EXCE-141	Growling	Whitechapel	Whitechapel	The Night Remains	2618.038815966381	3278.05
EXCE-142	Growling	Whitechapel	Somatic Defilement	Festering Fiesta	2800.43879914646	2531.45
EXCE-143	Growling	Whitechapel	Somatic Defilement	Articulo Mortis	2485.429537624413	7573.9
EXCE-144	Growling	Whitechapel	Somatic Defilement	Alone in the Morgue	2857.0399961898192	4286.96
EXCE-145	Growling	Job for a Cowboy	Ruination	To Detonate And Exterminate	3116.633965102546	3890.82
EXCE-146	Growling	Job for a Cowboy	Ruination	Butchering The Enlightened	3399.1221812165313	3395.46
EXCE-147	Growling	Job for a Cowboy	Ruination	Lords Of Chaos	3093.9463676033315	3575.78
EXCE-148	Growling	Job for a Cowboy	Genesis	Coalescing Prophecy	3368.015365545467	2360.68
EXCE-149	Growling	Job for a Cowboy	Genesis	Strings Of Hypocrisy	3144.4169141507286	3350.57
EXCE-150	Growling	Job for a Cowboy	Genesis	Martyrdom Unsealed	3069.391443353121	4915.71
EXCE-151	Growling	Job for a Cowboy	Sun Eater	The Celestial Antidote	2997.3799544598724	2929.82
EXCE-152	Growling	Job for a Cowboy	Sun Eater	Encircled by Mirrors	3053.495486346342	3366.44
EXCE-153	Screaming	Job for a Cowboy	Sun Eater	Buried Monuments	2998.814180369982	3606.35
EXCE-154	Screaming	August Burns Red	Thrill Seeker	A Wish Full of Dreams	3294.5140760556797	3284.47
EXCE-155	Screaming	August Burns Red	Thrill Seeker	The Reflective Property	3267.908827423562	2706.39
EXCE-156	Screaming	August Burns Red	Thrill Seeker	Too Late for Roses	3321.0671980826455	2755.71
EXCE-157	Screaming	August Burns Red	Rescue & Restore 	Sincerity	3395.3888881984267	5156.67
EXCE-158	Screaming	August Burns Red	Rescue & Restore 	Treatment	3328.029616678767	2595.9
EXCE-159	Screaming	August Burns Red	Rescue & Restore 	Creative Captivity	3181.743119915834	3860.02
EXCE-160	Screaming	August Burns Red	Found In Far Away Places	Twenty-One Grams	3741.1389055079085	3807.1
