Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-025	Growling	The Faceless	In Becoming a Ghost	22	The Terminal Breath	2017	392254	14	4:58	1:50-1:56	4003.58	"""I call upon oblivion"""	8 8 16 2. 8r. 8 8 16 2	Contour: low low low low low low low low 	4/4	120	4802.81152	https://open.spotify.com/track/2i1qlHAGMaN13sY4Glz9mj?si=a46a5ed4e38143bd	excerpts_audio/EXCE-025.mp3	19/3/2025
EXCE-026	Growling	The Faceless	In Becoming a Ghost	22	I am	2017	547996	17	5:56	1:03-1:08	6056.79	"""And all the enveloping endless sadness"""	8 8 4. 8 8 2 8r 8 8 8 8	Contour: medium medium low low low low low low low low 	5/4	115	4984.263024	https://open.spotify.com/track/0kmuM7s8OlhO6GwRNW18v3?si=9a2acd18e5144ec7	excerpts_audio/EXCE-026.mp3	19/3/2025
EXCE-027	Growling	The Faceless	In Becoming a Ghost	22	Shake The Disease	2017	803265	18	5:42	2:46-2:50	4484.19	"""In spirit I'll be there"""	8r 8 8 8 8 8 4 4.	Contour: low low low low low low	6/4	112	4404.675292	https://open.spotify.com/track/3on849PTtZHU52UQAUl7MH?si=6d83f572b6594184	excerpts_audio/EXCE-027.mp3	19/3/2025
EXCE-028	Growling	Incantation	Decimate Christendom	4	Horns of Eradication	2004	6845	1	5:19	2:28-2:35	6871.56	"""Certain it will come"""	2 2 2r 4 4 2.	Contour: low low low low low	4/4	110	3521.102559	https://open.spotify.com/track/3gAvWFt92ZoJd5U7YzvQK6?si=3ae273ac1f3f4111	excerpts_audio/EXCE-028.mp3	16/3/2025
EXCE-029	Growling	Incantation	Decimate Christendom	4	Feeble Existence	2004	5017	1	3:48	2:17-2:23	5900.7	"""Upon thy servants Leaving no trace"""	4 2 4 4 4 2r 2 4 4 2 2r	Contour: low low low low low low low low low 	4/4	160	3142.128698	https://open.spotify.com/track/6xdKdVHQ9MyVUXzVwQUyMX?si=8cfbe4a0b75645b0	excerpts_audio/EXCE-029.mp3	16/3/2025
EXCE-030	Growling	Incantation	Decimate Christendom	4	Thorns Of Everlasting Persecution	2004	5873	1	6:34	2:36-2:40	4510.68	"""Crumbled sanctuaries"""	8 8 8 8 8 4.	Contour: low low low low low low	4/4	88	3274.643107	https://open.spotify.com/track/0alX5GJxSZj1AR9i9lVbe4?si=2dd8147ae4cb4931	excerpts_audio/EXCE-030.mp3	16/3/2025
EXCE-031	Growling	Incantation	Primordial Domination	6	Extirpated Dominus	2006	10987	2	5:05	2:27-2:31	4687.3	"""I ascend the throne"""	[4. 4] 8 4. 4. 1	Contour: low2 low2 low3 low2 low1	6/8	165	2920.249791	https://open.spotify.com/track/6CUdkXGqlChp7M2PwvClLx?si=54d061a76f7341c6	excerpts_audio/EXCE-031.mp3	16/3/2025
EXCE-032	Growling	Incantation	Primordial Domination	6	Conquered God	2006	10400	2	6:09	2:34-2:42	8779.89	"""Only to arise and prevail"""	4. 4. [4. 4.] 4r. 4. [4. 4.] 4. 4. 4.	Contour: low low low low low low low low low	6/8	142	3188.247134	https://open.spotify.com/track/7o9ZjjvoYuumC3XOJfmxaF?si=7920bb8373cc4f55	excerpts_audio/EXCE-032.mp3	16/3/2025
EXCE-033	Growling	Incantation	Primordial Domination	6	Lead to Desolation	2006	16566	3	3:50	1:03-1:10	7726.92	"""The son of man"""	4 1 2r 2 1 	Contour: low low low low	4/4	120	3231.908427	https://open.spotify.com/track/40CHJhLXBZtqhhFWsl18g2?si=77800c0805ee4d55	excerpts_audio/EXCE-033.mp3	16/3/2025
EXCE-034	Growling	Incantation	Vanquish in Vengeance	8	From Hollow Sands	2012	17989	3	3:08	2:06-2:09	3674.56	"""We are your disease"""	8 8 8 8 2	Contour: low low low low low	4/4	118	3651.749162	https://open.spotify.com/track/3aiA8G6EjsUg9PkjPTVqAC?si=1473b9b1bb774df2	excerpts_audio/EXCE-034.mp3	16/3/2025
